Lat,Lon,name,share_foreign_population
48.6296972,9.1949534,Baden-Württemberg,15.5
48.9467562,11.4038717,Bayern,13.2
52.5170365,13.3888599,Berlin,18.5
52.8455492,13.2461296,Brandenburg,4.7
53.0758196,8.8071646,Bremen,18.1
53.5437641,10.0099133,Hamburg,16.4
50.6118537,9.1909725,Hessen,16.2
53.7735234,12.5755746,Mecklenburg-Vorpommern,4.5
52.8398531,9.075962,Niedersachsen,9.4
51.4781796,7.5542336,Nordrhein-Westfalen,13.3
49.9531599,7.310646,Rheinland-Pfalz,11.1
49.4173988,6.9805789,Saarland,11.1
50.9295798,13.4585052,Sachsen,4.9
51.908526,11.4939134,Sachsen-Anhalt,4.9
54.1853998,9.8220089,Schleswig-Holstein,8
50.7333163,11.0747905,Thüringen,4.9
